Country,Year,Emission.Source,Application,IEF,Direct.EM,FracGASF,FracGASM,FracLEACH-(H),T.Frac.GAS,T.Frac.Leach,IEF.GAS,IEF.Leach,EM.GAS,EM.Leach,N2O.EM,Other carbon-containing fertlizers,Urea,kt.CO2eq,kg.CO2eq.kg.N,Total.Area.kha,EM.Ha
BEL,1999,Organic N emissions,185153457.034142,0.01,2.90955432482223,0.07405530847856,0.15640669723829,0.3,28959240.6969618,55546037.1102426,0.01,0.00750003016766,0.455073782380828,0.654652356318371,4.01928046352143,0,0,1197.74557812939,6.46893445747828,955.439122893865,1.25360742451242
BEL,2000,Inorganic N emissions,162841819.778952,0.01,2.55894288224067,0.07374891029877,0.18566606373819,0.3,12009406.7597664,48852545.9336856,0.01,0.00750003316865,0.188719249082043,0.575764694804577,3.32342682612729,0,20.305278792413,1010.68647297835,6.20655353981116,954.927675859547,1.05839059703512
BEL,2000,Organic N emissions,158694601.061745,0.01,2.49377230239885,0.07374891029877,0.18566606373819,0.3,29464201.9156366,47608380.3185235,0.01,0.00750003316865,0.463008887245718,0.561101249491562,3.51788243913613,0,0,1048.32896686257,6.60595231248404,954.927675859547,1.09780980629653
BEL,2001,Inorganic N emissions,150016982.025384,0.01,2.35740971754174,0.07430613207961,0.18646824948876,0.3,11147181.6805627,45005094.6076152,0.01,0.00750003488796,0.175169997837413,0.530419653803371,3.06299936918252,0,20.0617310454698,932.835543061862,6.21819963625198,954.416228825228,0.977388601417718
BEL,2001,Organic N emissions,149913641.979556,0.01,2.35578580253587,0.07430613207961,0.18646824948876,0.3,27954134.3944125,44974092.5938668,0.01,0.00750003488796,0.439279254769339,0.530054271227398,3.32511932853261,0,0,990.885559902717,6.60970907529447,954.416228825228,1.03821113888893
BEL,2002,Inorganic N emissions,155724570.00877,0.01,2.4471003858521,0.07573484524276,0.1877674769655,0.3,11793776.2101095,46717371.002631,0.01,0.00750003382076,0.185330769016007,0.550600069700568,3.18303122456868,0,21.2857994160546,969.82910433752,6.22784897902047,953.90478179091,1.01669382820025
BEL,2002,Organic N emissions,146992521.568045,0.01,2.30988248178357,0.07573484524276,0.1877674769655,0.3,27600414.9076287,44097756.4704135,0.01,0.00750003382076,0.433720805691307,0.519725902060733,3.26332918953561,0,0,972.472098481612,6.6157930220378,953.90478179091,1.01946453885664
BEL,2003,Inorganic N emissions,145928254.200646,0.01,2.29315828029587,0.07481389505371,0.18906504039483,0.3,10917461.0951382,43778476.2601938,0.01,0.00750003504033,0.171560102923601,0.515963023657256,2.98068140687673,0,19.1681229896466,907.411182238911,6.21820076728427,953.393334756591,0.951770008409573
BEL,2003,Organic N emissions,137593041.337711,0.01,2.16217636387832,0.07481389505371,0.18906504039483,0.3,26014033.9185618,41277912.4013133,0.01,0.00750003504033,0.4087919615774,0.48649195477382,3.05746028022954,0,0,911.123163508403,6.6218694975433,953.393334756591,0.955663450008301
BEL,2004,Inorganic N emissions,152332919.209121,0.01,2.39380301614334,0.07460651406888,0.18867661977554,0.3,11365028.0801288,45699875.7627363,0.01,0.00750003498553,0.178593298402025,0.538608191086266,3.11100450563163,0,20.7309702163353,947.810312894561,6.22196645226379,952.881887722273,0.994677645893937
BEL,2004,Organic N emissions,134268631.214411,0.01,2.10993563336931,0.07460651406888,0.18867661977554,0.3,25333351.4794236,40280589.3643233,0.01,0.00750003498553,0.398095523248086,0.474737732024588,2.98276888864198,0,0,888.865128815311,6.62005057157319,952.881887722273,0.932817739814548
