Category,CO2,CH4,N2O,Country,Year,CO2eq.kt,EM.Source
total livestock,0,177.47155527627,1.62819337332921,AUT,2004,4921.99050715885,total
enteric fermentation,0,159.421434843933,0,AUT,2004,3985.53587109833,total
cattle subtotal,0,151.824578162445,0,AUT,2004,3795.61445406113,enteric fermentation
dairy cattle,0,65.799059233497,0,AUT,2004,1644.97648083742,enteric fermentation
non-dairy cattle,0,86.0255189289481,0,AUT,2004,2150.6379732237,enteric fermentation
manure management,0,18.0501204323367,1.62819337332921,AUT,2004,936.454636060521,total
cattle subtotal,0,13.6136887710567,0.94650883549567,AUT,2004,622.401852254127,manure management
dairy cattle,0,6.32622637544668,0.34866291883392,AUT,2004,262.057209198675,manure management
non-dairy cattle,0,7.28746239560999,0.59784591666175,AUT,2004,360.344643055451,manure management
indirect n2o emissions,0,0,0.37070799128303,AUT,2004,110.470981402343,manure management
total livestock,0,175.327130746863,1.62057609432508,AUT,2005,4866.10994478044,total
enteric fermentation,0,157.3959705286,0,AUT,2005,3934.89926321501,total
cattle subtotal,0,149.681779309564,0,AUT,2005,3742.04448273911,enteric fermentation
dairy cattle,0,65.1545522024492,0,AUT,2005,1628.86380506123,enteric fermentation
non-dairy cattle,0,84.5272271071151,0,AUT,2005,2113.18067767788,enteric fermentation
manure management,0,17.9311602182624,1.62057609432508,AUT,2005,931.210681565433,total
cattle subtotal,0,13.4194128813981,0.93254092259158,AUT,2005,613.382516967243,manure management
dairy cattle,0,6.2656951819553,0.34599019579348,AUT,2005,259.74745789534,manure management
non-dairy cattle,0,7.15371769944278,0.5865507267981,AUT,2005,353.635059071903,manure management
indirect n2o emissions,0,0,0.37308982753338,AUT,2005,111.180768604947,manure management
total livestock,0,174.396903361442,1.62487944559005,AUT,2006,4844.13665882189,total
enteric fermentation,0,156.167245273637,0,AUT,2006,3904.18113184093,total
cattle subtotal,0,148.53511649347,0,AUT,2006,3713.37791233674,enteric fermentation
dairy cattle,0,64.6485254837159,0,AUT,2006,1616.2131370929,enteric fermentation
non-dairy cattle,0,83.8865910097537,0,AUT,2006,2097.16477524384,enteric fermentation
manure management,0,18.2296580878049,1.62487944559005,AUT,2006,939.955526980958,total
cattle subtotal,0,13.7844765969409,0.94007779887925,AUT,2006,624.755098989539,manure management
dairy cattle,0,6.41777873433649,0.34611035222852,AUT,2006,263.585353322511,manure management
non-dairy cattle,0,7.3666978626044,0.59396744665073,AUT,2006,361.169745667028,manure management
indirect n2o emissions,0,0,0.37441940035241,AUT,2006,111.576981305018,manure management
total livestock,0,175.10090131843,1.65837450742532,AUT,2007,4871.7181361735,total
enteric fermentation,0,156.26571237392,0,AUT,2007,3906.642809348,total
cattle subtotal,0,148.096887212156,0,AUT,2007,3702.42218030391,enteric fermentation
dairy cattle,0,64.6777026281621,0,AUT,2007,1616.94256570405,enteric fermentation
non-dairy cattle,0,83.4191845839943,0,AUT,2007,2085.47961459986,enteric fermentation
manure management,0,18.8351889445102,1.65837450742532,AUT,2007,965.075326825501,total
cattle subtotal,0,14.2088933732073,0.94908119398079,AUT,2007,638.048530136457,manure management
dairy cattle,0,6.62248457561125,0.34775827924979,AUT,2007,269.194081606719,manure management
non-dairy cattle,0,7.586408797596,0.601322914731,AUT,2007,368.854448529738,manure management
indirect n2o emissions,0,0,0.38407350988729,AUT,2007,114.453905946412,manure management
total livestock,0,174.413446304558,1.64103360902579,AUT,2008,4849.36417310364,total
enteric fermentation,0,155.505752922754,0,AUT,2008,3887.64382306884,total
cattle subtotal,0,147.593329988301,0,AUT,2008,3689.83324970751,enteric fermentation
dairy cattle,0,65.5019699175335,0,AUT,2008,1637.54924793834,enteric fermentation
non-dairy cattle,0,82.0913600707671,0,AUT,2008,2052.28400176918,enteric fermentation
manure management,0,18.9076933818046,1.64103360902579,AUT,2008,961.720350034801,total
cattle subtotal,0,14.575340008077,0.95649038236451,AUT,2008,649.417634146548,manure management
dairy cattle,0,6.88775091934394,0.35409451856457,AUT,2008,277.71393951584,manure management
non-dairy cattle,0,7.68758908873302,0.60239586379994,AUT,2008,371.703694630708,manure management
indirect n2o emissions,0,0,0.37993490570324,AUT,2008,113.220601899566,manure management
total livestock,0,176.718572167191,1.68180884450912,AUT,2009,4919.1433398435,total
enteric fermentation,0,157.136872985459,0,AUT,2009,3928.42182463648,total
cattle subtotal,0,148.970141592537,0,AUT,2009,3724.25353981344,enteric fermentation
dairy cattle,0,65.8676275926113,0,AUT,2009,1646.69068981528,enteric fermentation
non-dairy cattle,0,83.1025139999261,0,AUT,2009,2077.56284999815,enteric fermentation
manure management,0,19.5816991817324,1.68180884450912,AUT,2009,990.721515207028,total
cattle subtotal,0,15.1626220952729,0.97979675286744,AUT,2009,671.044984736319,manure management
dairy cattle,0,7.12947491192854,0.35886745059487,AUT,2009,285.179373075485,manure management
non-dairy cattle,0,8.03314718334432,0.62092930227257,AUT,2009,385.865611660834,manure management
indirect n2o emissions,0,0,0.39000756420283,AUT,2009,116.222254132443,manure management
total livestock,0,176.418513305206,1.69030400597602,AUT,2010,4914.17342641102,total
enteric fermentation,0,156.516292067161,0,AUT,2010,3912.90730167902,total
cattle subtotal,0,148.165311389396,0,AUT,2010,3704.1327847349,enteric fermentation
dairy cattle,0,65.9822501545793,0,AUT,2010,1649.55625386448,enteric fermentation
non-dairy cattle,0,82.1830612348165,0,AUT,2010,2054.57653087041,enteric fermentation
manure management,0,19.9022212380456,1.69030400597602,AUT,2010,1001.26612473199,total
cattle subtotal,0,15.5079878120904,0.98591768274548,AUT,2010,681.503164760413,manure management
dairy cattle,0,7.33494152223231,0.36178303725811,AUT,2010,291.184883158725,manure management
non-dairy cattle,0,8.1730462898581,0.62413464548737,AUT,2010,390.318281601689,manure management
indirect n2o emissions,0,0,0.39291248878778,AUT,2010,117.087921658758,manure management
total livestock,0,174.742584682465,1.69218367520478,AUT,2011,4872.83535227264,total
enteric fermentation,0,154.462819427083,0,AUT,2011,3861.57048567707,total
cattle subtotal,0,146.134394917359,0,AUT,2011,3653.35987293397,enteric fermentation
dairy cattle,0,65.6307955997702,0,AUT,2011,1640.76988999426,enteric fermentation
non-dairy cattle,0,80.5035993175884,0,AUT,2011,2012.58998293971,enteric fermentation
manure management,0,20.2797652553821,1.69218367520478,AUT,2011,1011.26486659558,total
cattle subtotal,0,15.9942711102681,0.99239405802488,AUT,2011,695.590207048116,manure management
dairy cattle,0,7.61699913351532,0.36703497119743,AUT,2011,299.801399754717,manure management
non-dairy cattle,0,8.37727197675274,0.62535908682745,AUT,2011,395.788807293399,manure management
indirect n2o emissions,0,0,0.39049816073717,AUT,2011,116.368451899677,manure management
total livestock,0,173.679091738735,1.6998760235987,AUT,2012,4848.54034850078,total
enteric fermentation,0,153.142845313731,0,AUT,2012,3828.57113284328,total
cattle subtotal,0,144.765075220905,0,AUT,2012,3619.12688052262,enteric fermentation
dairy cattle,0,65.8041179067878,0,AUT,2012,1645.10294766969,enteric fermentation
non-dairy cattle,0,78.960957314117,0,AUT,2012,1974.02393285293,enteric fermentation
manure management,0,20.5362464250037,1.6998760235987,AUT,2012,1019.9692156575,total
cattle subtotal,0,16.2915489168809,1.00071911539862,AUT,2012,705.503019310811,manure management
dairy cattle,0,7.81137273151772,0.37397850776251,AUT,2012,306.729913601171,manure management
non-dairy cattle,0,8.48017618536319,0.62674060763611,AUT,2012,398.773105709641,manure management
indirect n2o emissions,0,0,0.39189920718768,AUT,2012,116.785963741929,manure management
total livestock,0,174.5258557632,1.71244882206729,AUT,2013,4873.45614305605,total
enteric fermentation,0,153.525044850822,0,AUT,2013,3838.12612127055,total
cattle subtotal,0,145.231714221254,0,AUT,2013,3630.79285553134,enteric fermentation
dairy cattle,0,66.668467568453,0,AUT,2013,1666.71168921132,enteric fermentation
non-dairy cattle,0,78.5632466528006,0,AUT,2013,1964.08116632001,enteric fermentation
manure management,0,21.0008109123779,1.71244882206729,AUT,2013,1035.3300217855,total
