Country,Year,CO2eq,N2O.PRP,CO2.PRP,kt.CO2,Total.Area.kha,Land.Use.EM,Total.CO2eq,Total.CO2eq.ha,CO2eq.ha
JPN,2000,6663.37909076897,0.223514314750911,66.6072657957713,6596.7718249732,4429.69816723229,4001.54441467057,10598.3162396438,2.39255945654322,1.48921474464589
JPN,2001,6471.83845146582,0.226810980090127,67.589672066858,6404.24877939896,4404.40860866073,3529.65379454351,9933.90257394247,2.25544527235931,1.45405418716279
JPN,2002,6436.56512374296,0.224392499400879,66.868964821462,6369.6961589215,4381.1592591721,3015.86999067132,9385.56614959282,2.14225632860614,1.45388372851006
JPN,2003,6455.9592440002,0.219719315111588,65.4763559032533,6390.48288809694,4363.00933688097,1458.90733359431,7849.39022169125,1.79907710839387,1.46469612936134
JPN,2004,6318.48621758026,0.215364363562934,64.1785803417542,6254.30763723851,4347.05430433037,4438.02126298474,10692.3289002232,2.45967226348471,1.43874614839944
JPN,2005,6312.12991083967,0.21092459109053,62.855528144978,6249.27438269469,4333.49473432279,3911.53219622884,10160.8065789235,2.34471418609244,1.44208652965429
JPN,2006,6236.79710352494,0.208522909095304,62.1398269104006,6174.65727661454,4320.76956961703,2663.39374080658,8838.05101742112,2.04548075869838,1.42906423893414
JPN,2007,6635.00296625816,0.20876181775714,62.2110216916278,6572.79194456653,4306.25612292822,6021.46166338735,12594.2536079539,2.92464109157304,1.52633558175288
JPN,2008,5795.43637626981,0.207234101908529,61.7557623687416,5733.68061390106,4290.7,11345.494382837,17079.1749967381,3.98051017240498,1.33630424264131
JPN,2009,5562.41139468282,0.209469021980053,62.4217685500559,5499.98962613277,4277.7,8642.49337703887,14142.4830031716,3.30609509857438,1.28573523765873
JPN,2010,5990.17485274648,0.200358979359778,59.7069758492138,5930.46787689726,4267.6,5846.31224323064,11776.7801201279,2.75957918270876,1.38964942283655
JPN,2011,5886.89945304081,0.19719935710599,58.7654084175851,5828.13404462322,4223.7,6844.98650684191,12673.1205514651,3.00047838422831,1.37986458427995
JPN,2012,5864.09390051617,0.189496175505867,56.4698603007484,5807.62404021542,4208.2,6508.46330109831,12316.0873413137,2.92668773853755,1.38007319999416
JPN,2013,5956.78621047715,0.183170174055233,54.5847118684596,5902.20149860869,4198.5,5472.32956970383,11374.5310683125,2.70918925052102,1.40578813828955
JPN,2014,5883.16117377398,0.172778597461483,51.4880220435221,5831.67315173046,4184.054,6192.63913690325,12024.3122886337,2.87384251939237,1.39378534591821
JPN,2015,5945.25408086246,0.173234044420319,51.6237452372552,5893.6303356252,4172.519,5697.90940816913,11591.5397437943,2.77806757591621,1.41248735730747
JPN,2016,5903.08562053552,0.168564021288419,50.2320783439489,5852.85354219157,4149.319,5443.44813525897,11296.3016774505,2.72244714794176,1.41055762215235
JPN,2017,5956.75812148048,0.166831015492743,49.7156426168373,5907.04247886364,4125.622,4552.23224195444,10459.2747208181,2.53519947315049,1.4317944006658
JPN,2018,5923.69049362436,0.164588475261616,49.0473656279617,5874.6431279964,4100.57,3967.87990486561,9842.52303286201,2.40028167617234,1.43264061532821
JPN,2019,5829.73622983771,0.160148712589327,47.7243163516196,5782.01191348609,4083.636,4681.12918813272,10463.1411016188,2.56221198501013,1.41589796776355
JPN,2020,5834.14863810172,0.155851807137974,46.4438385271161,5787.7047995746,4058.931,4649.96346662819,10437.6682662028,2.57153133822743,1.42591849912566
JPN,2021,5836.18205872854,0.157015896166235,46.7907370575381,5789.391321671,4037.031,4666.18883463713,10455.5801563081,2.58991822364211,1.43407155448422
KAZ,1990,11619.12,22.6593298749142,6752.48030272444,4866.63969727556,35814.5,5201.90000000001,10068.5396972756,0.281130260014116,0.13588461928201
KAZ,1991,15354.92,21.9571621683,6543.23432615341,8811.68567384659,35784.7,12816.4666666667,21628.1523405133,0.604396637124617,0.246241708714802
KAZ,1992,21039.63,21.8356616288346,6507.02716539272,14532.6028346073,35755,20430.3,34962.9028346073,0.977846534319879,0.406449526908328
KAZ,1993,23952.95,21.1820544599656,6312.25222906976,17640.6977709302,35725.3,28044.1333333334,45684.8311042636,1.2787808948914,0.493787253597037
KAZ,1994,26314.97,15.7631470885787,4697.41783239645,21617.5521676035,35695.6,35657.9666666667,57275.5188342703,1.60455403002808,0.605608314963288
KAZ,1995,29985.21,13.6027092953068,4053.60737000143,25931.6026299986,35665.9,43271.8,69203.4026299986,1.94032402462853,0.727069907951252
KAZ,1996,33706.1,10.2480071302537,3053.90612481559,30652.1938751844,35636.2,50885.6333333334,81537.8272085178,2.28806178011454,0.860142043068128
KAZ,1997,37945.52,8.39551151107956,2501.86243030171,35443.6575696983,35606.5,58499.4666666667,93943.124236365,2.63837007951821,0.995426609458899
KAZ,1998,42441.22,7.85444653261366,2340.62506671887,40100.5949332811,35576.8,66113.3000000001,106213.894933281,2.98548196952175,1.12715575693376
KAZ,1999,47838.11,8.40437131024949,2504.50265045435,45333.6073495457,35547.1,73727.1333333334,119060.740682879,3.349379856103,1.27531099160116
KAZ,2000,57597.52,8.46843000190234,2523.5921405669,55073.9278594331,35516.5,88936.6133333334,144010.541192767,4.05475036089611,1.55065752141774
KAZ,2001,50791.19,8.6523744030832,2578.4075721188,48212.7824278812,35513.9,102719.063333333,150931.845761214,4.24993722911914,1.35757498973307
KAZ,2002,43978.9,9.27364066636423,2763.54491857654,41215.3550814235,35507.3,107482.576666667,148697.93174809,4.18781297784091,1.16075722686387
KAZ,2003,37148.74,9.89569744669798,2948.917839116,34199.822160884,35496.8,112246.09,146445.912160884,4.12560884814642,0.963462119427216
KAZ,2004,30274.06,10.6389028590046,3170.39305198336,27103.6669480166,35483,117009.603333333,144113.27028135,4.06147367137361,0.763849363019379
KAZ,2005,23446.89,11.1960430363533,3336.42082483328,20110.4691751667,35466,121773.116666667,141883.585841834,4.00055224276303,0.567035165374351
KAZ,2006,16706.01,11.7572743150902,3503.66774589689,13202.3422541031,35449.9,126506.49,139708.832254103,3.94102190003648,0.372422552788671
KAZ,2007,16247.11,12.218325320218,3641.06094542495,12606.049054575,35433.6,112181.19,124787.239054575,3.52172060006816,0.35576540499907
KAZ,2008,15317.76,12.6668077847555,3774.70871985714,11543.0512801429,35443.8,102233.12,113776.171280143,3.21004438802112,0.325671944885787
KAZ,2009,14852.55,12.8594930626662,3832.12893267454,11020.4210673255,35453.4,92285.0500000001,103305.471067326,2.91383819513292,0.310842431680049
KAZ,2010,13848.74,13.1503996931335,3918.8191085538,9929.9208914462,35473.3,82336.9800000001,92266.9008914463,2.60102389378621,0.279926617806807
KAZ,2011,13472.07,12.6346448283079,3765.12415883577,9706.94584116423,35493.2,72388.9100000001,82095.8558411643,2.31300237344518,0.273487480451586
KAZ,2012,12427.32,12.7415601446186,3796.98492309635,8630.33507690365,35513,62440.8400000001,71071.1750769038,2.00127207154855,0.243019037448361
KAZ,2013,11690.74,13.0160388734109,3878.77958427646,7811.96041572354,35530.6,52493.3566666667,60305.3170823903,1.69727832016319,0.219865704933875
KAZ,2014,12239.41,13.6101341873274,4055.81998782355,8183.59001217645,35497.9,51683.61,59867.2000121765,1.68649976511784,0.23053729973256
KAZ,2015,12769.57,13.9550259244654,4158.59772549068,8610.97227450932,35446.2,51875.5966666667,60486.568941176,1.70643309977307,0.242930759136644
KAZ,2016,13246.69,14.4328651874965,4300.99382587394,8945.69617412606,35394.5,52067.5833333334,61013.2795074595,1.72380679222646,0.252742549665232
KAZ,2017,13879.83,15.0224315943325,4476.6846151111,9403.1453848889,35342.8,52259.5700000001,61662.715384889,1.74470374121148,0.266055473388891
KAZ,2018,14324.42,15.7694544309386,4699.29742041969,9625.12257958031,35291.1,52451.5566666667,62076.679246247,1.75898963892446,0.272735125274653
KAZ,2019,14566.48,16.3851715205619,4882.78111312746,9683.69888687254,35239.4,52643.5433333334,62327.2422202059,1.76868057402243,0.274797496179633
KAZ,2020,15418.16,17.4626422200027,5203.86738156081,10214.2926184392,35566.5,52121.3000000001,62335.5926184393,1.75264905510633,0.287188579658926
KAZ,2021,15619.32,18.3180431873676,5458.77686983553,10160.5431301645,35566.8,52888.4400000001,63048.9831301646,1.77269203667928,0.285674930838998
LIE,1990,6.67765647876551,0.00202671723899141,0.603961737219441,6.07369474154607,1.9525,4.48851307300536,10.5622078145514,5.40958146711981,3.1107271403565
LIE,1991,6.76307380774522,0.00202939059929291,0.604758398589286,6.15831540915593,1.94758333333333,4.47978640633869,10.6381018154946,5.46220622934131,3.16202922039585
LIE,1992,6.59807668831626,0.00203461000154567,0.606313780460608,5.99176290785565,1.94266666666667,4.47105973967202,10.4628226475277,5.38580438273558,3.08429799649398
LIE,1993,6.41732425371764,0.00192754051350141,0.574407073023421,5.84291718069422,1.93775,4.46233307300536,10.3052502536996,5.3181526273769,3.01531011776247
LIE,1994,6.37865319319903,0.00194889169621516,0.580769725472118,5.79788346772691,1.93283333333333,4.45360640633869,10.2514898740656,5.3038664520474,2.99968102150224
LIE,1995,6.25593346573745,0.00197010030208932,0.587089890022616,5.66884357571483,1.92791666666667,4.44487973967202,10.1137233153869,5.24593385712738,2.94039865608722
LIE,1996,6.12480733083765,0.00229463412124537,0.68380096813112,5.44100636270653,1.923,4.43615307300536,9.87715943571189,5.13632835970457,2.82943648606684
LIE,1997,6.09635608473588,0.00248476494709802,0.74045995423521,5.35589613050067,1.916,4.43476684274709,9.79066297324776,5.10994935973265,2.7953528864826
LIE,1998,5.83034734572997,0.00268457533374175,0.800003449455042,5.03034389627493,1.909,4.43338061248885,9.46372450876378,4.9574250962618,2.63506752031164
LIE,1999,5.67482496315132,0.00279822138374143,0.833869972354946,4.84095499079637,1.902,4.43199438223058,9.27294937302695,4.87536770400997,2.54519189842081
LIE,2000,5.5821290714773,0.0027903225241377,0.831516112193035,4.75061295928427,1.895,4.43060815197231,9.18122111125657,4.84497156266838,2.50691976743233
LIE,2001,5.69712844567451,0.00331962346625368,0.989247792943597,4.70788065273091,1.888,4.42922192171408,9.13710257444499,4.83956704154926,2.4935808542007
LIE,2002,5.87655489145775,0.00361902406974135,1.07846917278292,4.79808571867483,1.881,4.42783569145577,9.2259214101306,4.90479607130813,2.55081643736036
LIE,2003,5.90137518348148,0.00364966912849837,1.08760140029252,4.81377378318897,1.86366666666668,4.40574316687018,9.21951695005914,4.94697743698395,2.58295856726289
LIE,2004,5.83028228699623,0.00375097795811002,1.11779143151679,4.71249085547944,1.84633333333332,4.38365064228436,9.0961414977638,4.92659766984864,2.55235106814198
LIE,2005,5.93244792354566,0.00388760101429139,1.15850510225883,4.77394282128683,1.829,4.36155811769876,9.13550093898559,4.99480641825346,2.61013822924375
LIE,2006,6.05587208179876,0.00406455745568602,1.21123812179443,4.84463396000433,1.81166666666668,4.33946559311317,9.18409955311749,5.06942017651376,2.67413098068314
LIE,2007,6.10343249287013,0.00406275664392456,1.21070147988952,4.89273101298061,1.79433333333332,4.31737306852739,9.210104081508,5.13288356762478,2.72676816625338
LIE,2008,6.15162138019354,0.00404986442329248,1.20685959814116,4.94476178205238,1.777,4.29528054394183,9.24004232599421,5.19979872031188,2.78264590999009
LIE,2009,6.04811288378985,0.00399021227792355,1.18908325882122,4.85902962496863,1.76533333333334,4.29780336991699,9.15683299488562,5.18702775390045,2.75247146429491
LIE,2010,5.8370943140823,0.00390039950025219,1.16231905107515,4.67477526300715,1.75366666666666,4.30032619589214,8.97510145889929,5.11790617310358,2.66571484299971
LIE,2011,6.18004817452146,0.00399493343860087,1.19049016470306,4.9895580098184,1.742,4.3028490218673,9.2924070316857,5.33433239476791,2.86426981045832
LIE,2012,6.0094304473762,0.00408905384553219,1.21853804596859,4.79089240140761,1.73033333333334,4.30537184784246,9.09626424925007,5.25694331492007,2.76876848472795
LIE,2013,5.79454440544712,0.00386141509710727,1.15070169893797,4.64384270650915,1.71866666666666,4.30789467381758,8.95173738032673,5.2085361018193,2.70200312636298
LIE,2014,5.83079676196793,0.00393112287594286,1.17147461703097,4.65932214493696,1.707,4.31041749979273,8.96973964472969,5.25468051829507,2.72953845631925
LIE,2015,5.90009608018294,0.00382950916234827,1.14119373037978,4.75890234980315,1.69325000000001,4.29897765910126,9.05788000890441,5.34940499566181,2.81051371610992
LIE,2016,5.7766194792539,0.00388228296324156,1.15692032304598,4.61969915620792,1.67949999999999,4.28753781840967,8.90723697461759,5.30350519477085,2.75063956904314
LIE,2017,5.73670361295254,0.0037015919918708,1.1030744135775,4.63362919937504,1.66575,4.27166643019872,8.90529562957376,5.34611774250263,2.78170745872733
LIE,2018,5.8920369730095,0.00377836208642136,1.12595190175357,4.76608507125593,1.652,4.25579504198758,9.02188011324351,5.46118650922731,2.88503938938011
LIE,2019,5.96224985733652,0.00394654333623364,1.17606991419762,4.7861799431389,1.63824999999999,4.23992365377662,9.02610359691552,5.50960085268767,2.92151987983453
LIE,2020,5.9281349353457,0.00401498521480459,1.19646559401177,4.73166934133393,1.6245,4.22405226556563,8.95572160689956,5.51290957642325,2.91269273089192
LIE,2021,5.86166882247676,0.00398974868547641,1.18894510827197,4.67272371420479,1.6245,4.22214354402119,8.89486725822598,5.47544922020682,2.87640733407497
LTU,1990,3230.43174742509,1.74432788653984,519.809710188873,2710.62203723622,2414.74929780316,1139.63929382759,3850.26133106381,1.59447663348184,1.12252731151107
LTU,1991,3387.90661206868,1.66636544677483,496.576903138899,2891.32970892978,2376.01394503572,1092.49952925235,3983.82923818213,1.67668596663991,1.21688246610283
LTU,1992,2119.62792567592,1.44244927891961,429.849885118043,1689.77804055787,2337.67859226828,1078.98209580259,2768.76013636046,1.18440582273284,0.72284446893029
LTU,1993,1701.14753122664,1.19317890849134,355.56731473042,1345.58021649622,2301.73856002196,994.944240040125,2340.52445653635,1.0168506958992,0.584592985435923
LTU,1994,1582.20727025526,1.04064834681859,310.11320735194,1272.09406290332,2260.20856621228,999.935524732276,2272.0295876356,1.00523005779203,0.562821538649035
LTU,1995,1522.54012127251,0.94258839236291,280.891340924147,1241.64878034836,2223.07053396596,937.685635787741,2179.3344161361,0.980326257236726,0.558528738237223
LTU,1996,1774.71834511405,0.918748459003623,273.78704078308,1500.93130433097,2205.10067810336,775.18384865935,2276.11515299032,1.03220464062804,0.680663390672003
LTU,1997,1805.60226960167,0.923814917090152,275.296845292865,1530.30542430881,2173.15426768096,849.731648193763,2380.03707250257,1.09519931828971,0.704186282155589
LTU,1998,1788.77888947947,0.883194758039738,263.192037895842,1525.58685158362,2125.63398217764,972.061130658473,2497.6479822421,1.17501319756064,0.717709099673271
LTU,1999,1736.79131421388,0.7956431539234,237.101659869173,1499.68965434471,2080.51000758628,1075.99893034299,2575.6885846877,1.23800826494265,0.720827897427221
LTU,2000,1735.31884479501,0.742848500379032,221.368853112952,1513.94999168206,2020.61048804428,1034.66789153378,2548.61788321584,1.26131082576069,0.749253753081024
LTU,2001,1705.933688033,0.697231500454586,207.774987135467,1498.15870089754,1961.50995889312,845.821925701537,2343.98062659907,1.19498787960362,0.763778279128874
LTU,2002,1789.22438487326,0.700300387660523,208.689515522836,1580.53486935042,1913.19034325952,767.090724741022,2347.62559409144,1.22707372131712,0.826125259788657
LTU,2003,1797.84314253824,0.717030139631816,213.674981610281,1584.16816092796,1872.05933984068,554.885780296159,2139.05394122412,1.14262080036745,0.846216851792092
LTU,2004,1816.95852787179,0.726848732780074,216.600922368462,1600.35760550333,1851.29417306612,581.726965737677,2182.08457124101,1.17868062406691,0.864453434136193
LTU,2005,1844.32122444424,0.710966238203916,211.867938984767,1632.45328545948,1834.12330759436,646.035492495979,2278.48877795545,1.24227676979032,0.890045548573615
LTU,2006,1789.04569310049,0.714958734976404,213.057703022968,1575.98799007752,1876.05330140404,1150.3017753832,2726.28976546072,1.4532048547983,0.840055018105323
LTU,2007,1936.25549077843,0.720224445084205,214.626884635093,1721.62860614334,1925.17090742848,1072.42652612728,2794.05513227062,1.45132835816781,0.894273126349586
LTU,2008,1888.00288490259,0.70719595187973,210.74439366016,1677.25849124243,1972.29186280152,1011.43536624384,2688.69385748627,1.36323325578555,0.85041089651913
LTU,2009,2019.10985101745,0.686209691585717,204.490488092544,1814.61936292491,2006.23492387532,718.57752387521,2533.19688680012,1.26266214223153,0.904489968412931
LTU,2010,2008.40070183124,0.665367897367081,198.27963341539,1810.12106841585,1919.18095547428,112.128500342609,1922.24956875846,1.00159891816112,0.943173734218575
LTU,2011,2070.20358871033,0.649523441185874,193.55798547339,1876.64560323694,1914.38865417148,296.079445554187,2172.72504879113,1.13494459134864,0.980284541045362
LTU,2012,2160.05297659781,0.635860622323812,189.486465452496,1970.56651114531,1903.20741052364,89.2202366331809,2059.7867477785,1.08227129444172,1.03539241190908
LTU,2013,2158.93287707128,0.613235523105177,182.744185885343,1976.18869118594,1919.97893625596,66.4251183263587,2042.6138095123,1.06387303055287,1.02927623520683
LTU,2014,2322.8702880526,0.62017554369293,184.812312020493,2138.0579760321,1939.94544276996,101.402285378439,2239.46026141054,1.15439342366913,1.10212273443075
LTU,2015,2397.02674115173,0.617447277568399,183.999288715383,2213.02745243635,1945.93539472416,-266.969665989585,1946.05778644677,1.00006289608737,1.13725638499425
LTU,2016,2381.56665577937,0.596190263843561,177.664698625381,2203.90195715399,1948.73070563612,-412.446924589831,1791.45503256416,0.919293275044576,1.13094228503706
