Country,Year,Land Use,Total.Area.kha,Emissions.kt,t.ha
AUT,2001,Remaining Grassland,1545.2493030311,294.815507121078,0.190788312632
AUT,2001,Conversion to Grassland ,60.4829639978465,181.583256477637,3.00222152611605
AUT,2002,Total Cropland,1469.872125,-127.376654020409,-0.0866583234377675
AUT,2002,Remaining Cropland,1438.3332851875,-305.155638939137,-0.212159199875123
AUT,2002,Conversion to Cropland,31.5388398124973,177.778984918729,5.63682703535226
AUT,2002,Total Grassland,1597.77575090295,731.250515720244,0.457667801821997
AUT,2002,Remaining Grassland,1536.3246822368,294.862891988035,0.191927458692345
AUT,2002,Conversion to Grassland ,61.4510686661463,436.387623732209,7.10138380347839
AUT,2003,Total Cropland,1467.8705,-126.864958300098,-0.0864278955807735
AUT,2003,Remaining Cropland,1436.09656215724,-305.056891428284,-0.212420877165838
